Reaction,Flux
2S6HCCi,0.000768040211674802
3AMBAt2,0.0
AB6PGH,0.0
ABTA,0.0
ABUTD,0.0
MACCOAT,0.06919635499176603
ACACT1r,2.4100700930903556
ACACT2r,-0.08077704120982807
ACACT3r,-0.08077704120982807
ACACT4r,-0.08077704120982807
ACACT5r_1,-0.08077704120982807
ACACT6r_1,-0.08077704120982807
ACACT7r,-0.06213618554602157
ACGK,0.0
ACGS,0.0
ACKr,0.0
ACLS,1.71205237818209
ACOAD1,11.155792604939883
ACOADH2,0.0
ACOAD2,0.08077704120982807
ACOAD20,0.034598177495883016
ACOAD3,0.08077704120982807
ACOAD4_1,-0.08077704120982807
ACOAD5_1,-0.08077704120982807
ACOAD6,0.08077704120982807
ACOAD7,0.06213618554602156
ACODA_1,0.0
ACONT,6.1232822687653385
ACOTA,0.0
ACPS1,0.0
ACS,0.0
ACS2,0.0
ADCS,0.0010596645025749926
ADK1,0.0
ADK2,0.0
ADNt2,-0.1813380281690141
ADPDA,0.0
ADPT,0.0
ADSL1r,0.0
ADSL2r,0.0
ADSS,0.0
AGMT,0.0
AGPR,0.0
AHMMPS_1,0.0
AHSERL3,0.0
AHSERL4,0.0
AICART,0.0
AIRC1,0.0
AKGDH,0.0
ALAALAr,-0.29398327154922305
ALAD_L,0.0
ALAR,-1.0176503930998952
ALATA_L,-3.288364980397676
ALCD19y,0.0
ALCD19_L,0.0
ALCD2y,0.0
ALDD10,0.0
ALDD11,0.0
ALDD12,0.0
ALDD13,0.0
ALDD14,0.0
ALDD15,0.0
ALDD16,0.0
ALDD17,0.0
ALDD18,0.0
ALDD1,0.0
ALDD20x_1,0.0
ALDD2x,0.0
ALDD3,0.0
GLXO1,0.0
ALDD31_1,0.0
ALDD32,0.0
ALDD4,0.0
ALDD4x,0.0
ALDD5,0.0
ALDD6,0.0
ALDD7,0.0
ALDD8,0.0
ALDD9,0.0
ALLTN,2.4260896103135177
AMAOTr,0.0
AMMQT7,0.0
ANPRT,0.0
ANS,0.0
AOXSr,0.0
APATi,0.0
APRAUR,0.0
APSR,0.0
APTA1i,0.0
ARABRr,0.0
ARAI,0.0
ARBt2r,0.0
ARGSL,-7.671792416825026
ARGSS,0.0
ARGabc,0.0
ARSENBt2,0.0
ASP1DC,0.0
ASPCT,0.0
ASPK,-4.4156176279959585
ASPO6,0.0
ASPO1,0.0
ASPT,0.0
ASPTA,-11.519261305182876
ATPPRT,0.0
BETALDHx,0.0
BG_CELLB,0.0
BG_MADG,0.0
BG_MBDG,0.0
BILEt4,0.0
BTDD_RR,0.0
BTS_1,0.0
BUTKr,0.0
CA2abc1,0.0
CAT,1.2130448051567586
CBPS,0.0
CD2abc1,0.0
CD2t4,0.0
CDGPT_BS,0.060057279709909324
CDPMEK,0.0053762814817236125
CHORS,0.0
CITt10,0.2284564126424259
CITt11,0.0
CITt12,0.0
CITt13,0.0
CITt14,0.13854566368766305
CITt15,0.0
CITt2r,0.3670020763300889
CPPPGO,0.0
CS,6.1232822687653305
CSNt2,0.2834507042253521
CTPS1,1.8020947524044546
CTPS2,0.0
CYSS_2,0.0
CYSTGL,0.0
CYSTL,0.2694644343423254
CYSTS,0.0
CYTD,2.1823031232666716
CYTK1,-0.03750313104589278
CYTK2,0.0
Cut1,0.0
D4DGCD,0.0
DADK,0.0
DADNt2,0.0
DAPDC,0.0
DAPE,0.2939832715492231
DB4PS,0.0
DBTS,0.0
DCYTD,0.0
DDGLK,2.267605633802817
DGK1,0.0
DHAD1,1.7120523781820898
DHAD2,0.0
DHAD3,0.0
DHBD,0.0
DHDPRy,0.29398327154922305
DHDPS,0.29398327154922305
FOLR2,0.0
DHFR,-0.0010596645025749928
DHFS,0.0010596645025749928
DHNPA_1,0.0010596645025749928
DHORTS,0.0
DHPPDA,0.0
FOLD3,0.0010596645025749928
DHQS,0.0
DKII,0.0
DMPPS,0.0007680402116748019
DPCOAK,0.014165646589307166
DRPA,-0.025385029861985767
DTMPK,-0.025385029861985764
DURIPP,0.0
DUTPDP,0.0
DXPRIi,0.005376281481723613
DXPS,0.005376281481723613
ECOAH1_1,0.0
ECOAH2,0.08077704120982807
ECOAH2c,0.0
ECOAH3,0.08077704120982807
ECOAH4,0.08077704120982807
ECOAH5_1,0.08077704120982807
ECOAH6,0.08077704120982807
ECOAH7,0.06213618554602157
ECOAH9ir,-0.06919635499176605
EDA,7.2771282225063
ENO,-2.9101579914239024
FRUK,0.0
FACOAL140,0.0
FACOAL140_ISO,-0.006213618554602156
FACOAL150_ISO,-0.12427237109204313
FACOAL150_anteiso,-0.21126303085647333
FACOAL160,0.0
FACOAL160_ISO,-0.031068092773010782
FACOAL161,0.0
FACOAL161_ISO,0.0
FACOAL170_ISO,-0.0434953298822151
FACOAL170_anteiso,-0.10563151542823666
FACOAL171_ISO,0.0
FACOAL171_anteiso,0.0
FACOAL180_2,-0.01864085566380647
FACOAL181,0.0
FBA,-1.8222296626797865
FBA2,0.0
FDH,0.0
FFSD,0.0
FMETDF,0.0
FMETTRS_1,0.0
FMNAT,-1.3093787556465837e-15
FTHFD,0.0
FUM,17.787555969258893
G1Dx,0.0
G1PACT,0.944094662301341
G1PPDM,0.0
G3PD1ir,1.7016710479343784
G5SD,0.0
G6PDA,0.0
ABUTt2r,0.0
GALUi,0.0
GALt2,0.0
GAPDi_nadp,0.0
GARFT,0.0
GBEZY,0.0
GCALDD,0.0010596645025749928
GF6PTA,0.5737894979820921
GGTAe2,0.0
GHMT2r,0.37887654894970507
GK1,0.0
GK2,-0.2705512502015401
GLCNt2ir,0.0
GLCRD_1,0.0
GLGC,0.0
GLNS,6.184220789663925
GLNabc,1.5833333333333337
GLTPD,0.0
GLU5K,0.0
GLUN,0.0
GLUPRT,0.0
GLUSy,0.0
GLUTRS,0.0
GLUt2r,0.0
GLUt4,0.0
GLXCBL,0.0
GLY3Pt2,0.0
GLYAT,-4.714995661825708
GLYBabc,0.0
GLYBt2r,3.160964892655564e-17
GLYCK,0.0
GLYCLTt2r,14.925808312515498
GLYCTO1,0.0
GLYCt,0.6237690939638195
GLYK,0.0
GMPR,0.0
GMPS2,0.0
GSNt2,-0.4812206572769953
GTHPe,0.0
GTPCI,0.0010596645025749926
GTPCII,0.0
GTPDPK,0.0
GUAD,0.8491784037558684
GUAPRT,0.0
GUAt2r,0.36795774647887314
HACD1_1,0.0
HACD2,-0.08077704120982807
HACD3,-0.08077704120982807
HACD4,-0.08077704120982807
HACD5,-0.08077704120982807
HACD6,-0.08077704120982807
HACD7,-0.06213618554602157
HACD9,0.06919635499176603
HACOADr,0.0
HEMEOS_1,0.0
HEX1,0.0
HIBD,0.0
HISDr,-0.6744940533656898
HISTD,0.0
HISt2r,0.8732394366197184
HMBS,0.0
HMGL,0.0
HMPK1,0.0
HOXPRx,0.0
HP5CD_1,0.0
HPPK,0.0010596645025749928
HSDy,4.121634356446736
HSK,4.6919586544987775
HSTPTr,0.0
HXANt2r,0.181924882629108
ICDHyr,0.0
ICITt10,0.0
ICITt2,0.0
IG3PS_1,0.0
IGPDH_1,0.0
IGPS,0.0
ILETA,-0.386090901276476
IMPC,0.0
IMPD,0.0
INS2D,0.0
INSTt2,2.267605633802817
INSt2,-0.3186619718309859
RAFH,0.0
IPDPS,0.0046082412700488105
IPDPUPT,0.0
IPMD,1.204307095268061
IPPMIa,1.2043070952680612
IPPMIb,-1.2043070952680612
IZPN_1,0.0
KARA1,-1.71205237818209
KARA2,0.0
Kt2r,0.14201725162664772
Kt3r,0.0
LAAF,0.0
LACZ,0.0
LCADi,0.0
LEUTA,-1.0365393942938028
LYSt3r,667.774450485456
L_LACt2r,0.0
M1PD,-0.988262910798122
MALTATr,0.0
MALt2r,0.0
MALt4,0.0
MCITS,0.06919635499176603
MCSNAH,0.025385029861985767
MALDDH,0.0
ME2,0.07581604031891934
MECDPDH2,0.005376281481723613
MECDPS,0.0053762814817236125
MEPCT,0.0053762814817236125
METAT,0.02615307007366056
METS,0.295617504415986
METSR_R1,0.0
METSR_R2,0.0
METSR_S1,0.0
METSR_S2,0.0
METTRS,0.0
MGt5,0.0
MCITL2,0.06919635499176603
MLTG1,0.0
MLTG2,0.0
MLTG3,0.0
MLTG4,0.0
MLTG5,0.0
MLTG6,0.0
MLTG7,0.0
MMSAD1,0.0
MMSAD2,0.0
MMSAD3,1.3318619159304848
MMSDHir,0.0
MNt2,0.0
MOHMT,0.0
MTHFC,0.6744940533656908
MTHFD,0.6744940533656908
MTHFR3,0.0
NADS1,0.03174122099185946
NAt3_1,0.0
NAPRT,0.0
NDPK1,-0.22530015734434636
NDPK2,-3.6841868150344395
NDPK3,0.0
NDPK4,0.0
NDPK5,-0.04473136639816559
NDPK6,0.0
NDPK7,-0.05094404796177749
NDPK8,-0.2952033990960137
NDPK9,0.0
NH4t,0.0
NMNAT,-4.733369021635317
NNATr,0.031741220991859456
NNDPR,0.03174122099185946
NTR3B,0.0
OCBT_1,5.786229036543337
OCOAT1,0.47355553344070345
OIVD1r,0.16776770097425828
OIVD2,0.03728171132761294
OIVD3,0.38609090127647605
ORNTA_1,2.4261793952143056
ORNTAC_1,0.0
OXGDC,0.0
P5CD,2.498261158600571
P5CR,0.0
PANTS,0.0
PAPPT3,0.293983271549223
PAPSR,0.0
PC,0.0
PDH,0.0
PFK,0.0
PFK_2,0.0
PGAMT,-0.944094662301341
PGCD,3.758556113898814
GND,-5.009522588703482
BGLA1,0.0
PGK,-0.8483981224748994
PGMT,-0.7265054054908092
PGMT_B,0.0
PHCYT_BS,0.22174995585197285
PHETA1,0.0
PIt2r,-3.014147842331372
PMANM,0.0
PMPK,0.0
