Reaction,Flux
23CN2P1,0.0
23CN2P2,0.0
23CN2P3,0.0
23CN2P4,0.0
26DPAi,0.0
2S6HCCi,0.00044058908071856065
3AMBAt2,0.0
3NUCLE1,0.0
3NUCLE2,0.0
3NUCLE3,0.0
3NUCLE4,0.0
AB6PGH,0.0
ABTA,0.0
ABUTD,0.0
MACCOAT,0.0
ACACT1r,0.4694934806229149
ACACT2r,0.469493480622915
ACACT3r,0.469493480622915
ACACT4r,0.469493480622915
ACACT5r_1,0.46949348062291496
ACACT6r_1,0.469493480622915
ACACT7r,-0.035644650440088056
ACCOAC,4.265149596791312
ACGK,0.0
ACGS,0.0
ACKr,0.0
ACLS,0.7038991045214941
ACOAD1,2.2538850904116075
ACOADH2,0.0
ACOAD2,-0.46949348062291496
ACOAD20,0.0
ACOAD3,-0.46949348062291496
ACOAD4_1,0.4694934806229149
ACOAD5_1,0.46949348062291496
ACOAD6,-0.46949348062291496
ACOAD7,0.03564465044008805
ACONT,0.0
ACOTA,0.0
ACPS1,0.0
ACPpds,0.0
ACS,0.0
ACS2,0.0
ACTD2,0.0
ADADir,0.0
ADCL,0.0
ADCS,0.0
ADD,0.0
ADK1,151.71443971968944
ADK2,0.0
ADMDC,0.0
ADNK1,0.0
ADPDA,-0.1686445805696303
ADPRDP,0.0
ADPT,0.0
ADSK,0.0
ADSL1r,-0.18741757982405546
ADSL2r,0.0
ADSS,0.18741757982405546
AGMT,0.0
AGPR,0.0
AHCYSNS,0.0
AHMMPS_1,0.0
AHSERL3,0.0
AHSERL4,0.0
AICART,0.0
AIRC1,0.0
AKP1,0.0
ALAALAr,-0.1686445805696303
ALAD_L,0.0
ALAR,-0.5837788756021652
ALATA_L,-1.8863826161148538
DALAt2r,0.0
ALAt2r,0.0
ALCD19y,0.0
ALCD19_L,0.0
ALCD2y,0.0
ALDD10,0.0
ALDD11,0.0
ALDD12,0.0
ALDD13,0.0
ALDD14,0.0
ALDD15,0.0
ALDD16,0.0
ALDD17,0.0
ALDD18,0.0
ALDD1,0.0
ALDD20x_1,0.0
ALDD2x,0.0
ALDD3,0.0
GLXO1,0.0
ALDD31_1,0.0
ALDD32,0.0
ALDD4,0.0
ALDD4x,0.0
ALDD5,0.0
ALDD6,0.0
ALDD7,0.0
ALDD8,0.0
ALDD9,0.0
ALKP,-2.202398866980925
AMAA,0.0
AMAOTr,0.0
AMMQT7,0.0
ANPRT,0.0
ANS,0.0
ANTIMt1,0.0
AOXSr,0.0
APATi,0.1686445805696303
APRAUR,0.0
APSR,0.0
APTA1i,0.1686445805696303
ARABRr,0.0
ARGDC,0.0
ARGN_1,0.0
ARGSL,-0.5933012873904667
ARGSS,-0.5933012873904666
ARGabc,0.0
ARSENBabc,0.0
ARSNAt1,0.0
ARSt1,0.0
ASAD,1.3288440991848054
ASNS1,0.0
ASP1DC,0.0
ASPCT,0.0
ASPK,-1.3288440991848056
ASPO6,0.0
ASPO1,0.0
ASPT,0.0
ASPTA,-1.8645606478658523
ATPPRT,0.0
BETALDHx,0.0
BG_CELLB,0.0
BG_MADG,0.0
BG_MBDG,0.0
BTS_1,0.0
BUTKr,0.0
CA2abc1,0.0
CAT,0.0
CAt4,-0.0826563165583804
CBL2abc,0.0
CBPS,0.0
CD2abc1,0.0
CDGPT_BS,0.03445207849227841
CDPDSP_BS,0.09275559594074957
CDPMEK,0.003084123565029924
CHLabc,0.0
CHOLD2,0.0
CHOLSabc_1,0.0
CHORS,0.00044058908071856065
CLPNS2_BS,0.0008281749637566926
CPPPGO,0.0
CRNabc,0.0
CRO4t3,0.0
CS,0.0
CTBTabc,0.0
CTPS1,1.0341033026982323
CTPS2,0.0
CYOO3,0.0
CYOR3m,0.0
CYSS_2,0.0
CYSTGL,0.0
CYSTL,0.04255717835448968
CYSTS,0.04255717835448969
CYTB_B2,0.0
CYTD,1.2926045020587573
CYTDK1,0.0
CYTDK2,0.0
ITCY,0.0
CYTDt2,0.4066901408450703
CYTK1,-0.015037830384054844
CYTK2,0.0
CYTOM,0.0004405890807185605
Cut1,0.0
DADK,-0.027620265395447777
DADNK,0.027620265395447773
DAGK_BS,0.0
DDPA,0.00044058908071856076
DALAOX,0.0
DAPDC,0.0
DAPE,0.1686445805696303
DB4PS,0.0
DBTS,0.0
DCMPDA,0.0
CMPDAi,0.0
DCYTD,0.0
DDGLCNt2r,0.0
DDGLK,0.0
DGK1,-0.012838907335457022
DGNSK,0.012838907335457022
DHAD1,0.703899104521494
DHAD2,0.0
DHAD3,0.0
DHBD,0.0
DHDPRy,0.1686445805696303
DHDPS,0.1686445805696303
FOLR2,-0.0006078804233977877
DHFR,-0.029489854669390428
DHFS,0.0
DHNAOT7,0.00044058908071856033
DHNPA_1,0.0
DHORDi,0.0
