Reaction,Flux
ALATA_D2,0.0
SHCHD2,0.0
CPPPGO,0.0
GTHOr,0.015519249457950232
DHORD5,0.0
GLYCTO2,0.0
GLYCTO3,0.0
GLYCTO4,0.0
TRPS2,0.0
LEUTAi,0.26408470719585275
SHK3Dr,0.0
G5SD,0.0
APRAUR,0.0
DB4PS,0.0
RBFK,0.0
RBFSb,0.0
DMATT,0.0
GRTT,0.0
UPPDC1,0.0
TMDPP,0.0
HCO3E,0.0
IMPC,0.0
IMPD,0.0
ECOAH4,0.18112209922600644
GLUTRS,0.0
TMPPP,0.0
XPPT,0.0
HXPRT,0.0
NDPK5,-0.010242842424578534
OMPDC,0.0
CS,6.379543135632893
ACS,0.0
PPCK,1.9835726077651996
ALAR,0.0
RBK,0.0
GLYK,0.0
PPM,2.425789702665575
FBP,0.0
PYK,9.54095348941805
A5PISO,0.0
IPPMIb,-0.26408470719585275
ACLS,0.5532335524933297
PSCVT,0.0
ANS,0.0
ANPRT,0.0
CHORM,0.0
CHORS,0.0
IGPS,0.0
ECOAH6,0.18112209922600647
ENO,8.17913539949874
PGI,-1.2834507042253522
PGK,-8.517047733687015
EDA,0.0
RPE,1.4644004861309092
TALA,0.0
TKT1,0.7322002430654546
ALCD2x,0.0
ALDD2y,0.0
FMNAT,-4.7948446501321006e-17
NADDP,0.0
HMPK1,0.0
NDPK6,0.0
NDPK8,0.0
DURIPP,0.0
PTRCTA,0.7700188163570586
CYSDS,0.06865290083014317
ILETA,0.0
VALTA,-0.7897468425465989
RBFSa,0.0
DHAD2,0.0
MOAT,0.0
UDCPDPS,0.0
LPADSS,0.0
TDSK,0.0
NTPP1,0.0
NTPP2,0.0
IPMD,0.26408470719585275
AIRC3,0.0
ADSL2r,0.0
PUNP5,-0.31866197183098594
PUNP7,-1.1572769953051643
TMDS,0.005276407033371695
PPCDC,0.003024454148383698
FTHFD,0.0
EDD,0.0
PUNP3,-0.24855965571721877
LYSAM,0.0
DHAD1,0.5532335524933298
IPPMIa,0.26408470719585275
NADH9,0.0
NADH10,0.0
MDH,-8.789528434225359
FUM,8.789528434225359
PYAM5PO,0.0
GLCS1,0.0
GLCP,0.0
AGMT,0.0
AGPR,0.0
G1SAT,0.0
KDOCT2,0.0
OAADC,0.0
MNNH,0.0
ALTRH,0.0
PGAMT,0.0
UAGDP,0.0
UAGCVT,0.0
GLUR,0.0
MACPD,0.0
DMQMT,-1.756074913401257e-16
HACD5,-0.18112209922600642
HPPK2,0.0
PTPATi,0.003024454148383698
DXPRIi,0.0
OHPHM,0.0
GHMT2r,-0.07695376201189842
DHORD2,0.0
ADK4,0.0
ABTA,6.951826292626317
SSALx,0.0
ASPT,1.7196761310566984
THRD,0.0
KARA1,-0.5532335524933297
KARA2,0.0
ACCOAC,0.0
NADK,0.003200286690902563
DHBD,0.0
RBP4E,0.0
NTD4,0.0
HACD6,-0.18112209922600644
ECOAH1,0.1811220992260065
ECOAH2,0.18112209922600647
ECOAH3,0.18112209922600647
DXPS,0.0
MECDPS,0.0
ICL,0.0
GLYCL,0.0
UDPG4E,0.0
TRE6PH,0.0
DHPPD,0.0
DHCIND,0.0
GTPCII2,0.0
SADT2,0.0
LCARS,0.0
ALCD19,0.0
SBTPD,0.0
GLTPD,0.0
MANAO,0.0
PGLYCP,0.0
GLXCL,0.8622493114266845
GLCRAL,0.0
KAS14,0.0
NNDPR,0.006776949212894644
HACD4,-0.18112209922600642
HACD7,-0.18112209922600642
SDPDS,2.462657833023367e-17
DKGLCNR2y,0.0
2DGULRy,0.0
RZ5PP,0.0
NTD9,0.0
NTD10,0.0
ADPT,0.0
ADK1,-0.5591832221627925
OCTDPS,0.0
ACNML,0.0
SERASr,0.0
ACMAMUT,0.0
DDGALK,0.0
AMALT1,0.0
MLTP2,0.0
TRE6PS,0.0
CYTK1,-0.09056104961300318
CYTK2,0.0
GK1,-0.11463499101743528
HACD1,-0.1811220992260065
HACD2,-0.18112209922600647
ACACCT,0.0
BUTCT,0.0
2DGULRx,0.0
