Reaction,Flux
ALATA_D2,0.0
SHCHD2,0.0
CPPPGO,0.0
GTHOr,0.0
DHORD5,0.0
GLYCTO2,0.0
GLYCTO3,0.0
GLYCTO4,0.0
TRPS2,0.0
LEUTAi,0.38254490076642617
SHK3Dr,0.0
G5SD,0.0
ALATA_L2,0.0
APRAUR,0.0
DB4PS,0.0
RBFK,0.0
RBFSb,0.0
DMATT,0.0
GRTT,0.0
UPPDC1,0.0
IMPC,0.0
IMPD,0.3163806374117369
ECOAH4,0.2623678448128915
GLUTRS,0.0
TMPPP,0.0
XPPT,0.0
HXPRT,0.0
NDPK5,0.0
OMPDC,0.0
CS,4.116016067631094
ACALD,0.5079964478819975
ACS,0.0
PPCK,0.0
ALAR,0.0
RBK,0.0
GLYK,0.40703587371192906
FBP,0.0
GLGC,0.0
PYK,4.061361024628489
A5PISO,0.0
IPPMIb,-0.3825449007664259
ACLS,0.14443364322953353
ANS,0.0
ANPRT,0.0
CHORM,0.0
CHORS,0.0
IGPS,0.0
ECOAH6,0.2623678448128915
ENO,5.235544458263884
PGK,-5.235544458263884
EDA,0.0
RPE,0.9575541018439683
TKT1,0.47877705092198386
ALCD2x,0.0
ALDD2y,0.0
FMNAT,0.0
NADDP,0.0
HMPK1,0.0
NDPK6,0.008960280120250477
NDPK8,0.0
PTRCTA,0.0
ILETA,0.0
VALTA,0.23811125753689236
ORPT,0.0
RBFSa,0.0
DHAD2,0.0
G1PP,0.0
POX,0.0
PTAr,-0.5520074011206966
MOAT,0.0
UDCPDPS,0.0
LPADSS,0.0
TDSK,0.0
NTPP1,0.0
NTPP2,0.0
IPMD,0.38254490076642583
AIRC3,0.0
TMDS,0.008960280120250479
PPCDC,0.004381130298496785
FTHFD,0.0
EDD,0.0
LYSAM,0.0
DHAD1,0.1444336432295336
IPPMIa,0.38254490076642583
NADH9,0.0
NADH10,0.0
FUM,5.790678536282653
PYDXNK,0.0
PYAM5PO,0.0
GLCS1,0.0
GLCP,0.0
HEMEOS,0.0
ARGDC,0.0
ARGSS,0.0
AGPR,0.0
G1SAT,0.0
KDOCT2,0.0
OAADC,0.0
MNNH,0.0
ALTRH,0.0
PGAMT,0.0
UAGDP,0.0
UAGCVT,0.0
GLUR,0.0
UAG2E,0.0
MACPD,0.0
DMQMT,0.0
HACD5,-0.2623678448128915
HPPK2,0.0
PTPATi,0.004381130298496786
DXPRIi,0.0
OHPHM,0.0
GHMT2r,0.41936800397619
DHORD2,0.0
ADK4,0.0
ABTA,0.0
SSALx,0.0
ASPT,0.0
THRD,0.0
KARA1,-0.1444336432295336
KARA2,0.0
ACCOAC,0.0
NADK,0.004635835855831386
DHBD,0.0
RBP4E,0.0
NTD4,0.0
HACD6,-0.2623678448128915
ECOAH1,0.26236784481289155
ECOAH2,0.26236784481289155
ECOAH3,0.26236784481289155
DXPS,0.0
MECDPS,0.0
DDGLK,0.0
ICL,0.0
GLYCL,0.0
UDPG4E,0.0
TRE6PH,0.0
PPC,0.0
DHPPD,0.0
DHCIND,0.0
GOFUCR,0.0
PYDXK,0.0
SADT2,0.14079998410442074
ALCD19,0.40703587371192596
SBTPD,0.0
GLTPD,0.0
MANAO,0.0
PGLYCP,0.0
GLXCL,0.40703587371192596
GLCRAL,0.0
KAS14,0.0
NNDPR,0.009816878045207563
HACD4,-0.2623678448128915
HACD7,-0.2623678448128915
SDPDS,0.0
DKGLCNR2y,0.0
2DGULRy,0.0
NTD9,0.0
NTD10,0.3163806374117369
ADPT,0.0
ADK1,0.0
OCTDPS,0.0
ACNML,0.0
CAT,0.7291409741879309
SERASr,0.0
DDGALK,0.0
AB6PGH,0.0
AMALT1,0.0
MLTP2,0.0
PACCOAL,1.5484605097954125e-16
GMHEPK,0.0
TRE6PS,0.0
CYTK1,0.0
CYTK2,0.0
GK1,-0.16484001986525823
HACD1,-0.26236784481289155
HACD2,-0.26236784481289155
ACACCT,0.0
BUTCT,0.0
2DGULRx,0.0
TDPGDH,0.0
ALLTN,1.473657632716901
