Reaction,Flux
ALATA_D2,0.0
SHCHD2,0.0
CPPPGO,0.0
GTHOr,0.0
DHORD5,0.0
GLYCTO2,0.0
GLYCTO3,0.0
GLYCTO4,0.0
TRPS2,0.0
LEUTAi,0.2420804605870469
SHK3Dr,0.0
G5SD,0.0
ALATA_L2,0.0
APRAUR,0.0
DB4PS,0.0
RBFK,0.0
ACP1_FMN,0.0
RBFSb,0.0
DMATT,0.0
GRTT,0.0
UPP3S,0.0
UPPDC1,0.0
HCO3E,-0.02623063111000204
IMPC,0.0
IMPD,0.0
ECOAH4,0.16603051978548253
GLUTRS,0.0
TMPPP,0.0
NDPK5,-0.008720164229189609
DHORTS,0.0
CS,8.558076223172064
ICDHyr,-8.558076223172062
ACS,0.0
PPA,0.0
ALAR,0.0
ALATA_L,-0.4616592770207998
RBK,1.563967136150235
GLYK,0.0
ASPTA,-2.627789392562571
GLGC,0.0
A5PISO,0.0
IPPMIb,-0.24208046058704685
ACLS,0.0
PSCVT,0.0
ANS,0.0
ANPRT,0.0
CHORM,0.0
CHORS,0.0
IGPS,0.0
ECOAH6,0.16603051978548258
ENO,12.632281071818925
MGSA,0.0
PPS,0.0
PGI,-2.19718309859155
PGK,-12.94789926408847
EDA,0.0
PGL,0.0
RPE,1.5397448438555725
TALA,-0.8766799336648754
TKT1,0.8766799336648754
ALCD2x,0.0
ALDD2y,0.0
FMNAT,2.5348066330394063e-16
HMPK1,0.0
NDPK6,0.005561190069241396
NDPK8,-0.005400635191794983
PTRCTA,0.8855633802816897
CYSDS,0.0
NDP3,0.0
ILETA,0.1706510451534787
VALTA,0.2420804605870456
RBFSa,0.0
DHAD2,0.17065104515347868
G1PP,0.0
POX,0.0
PTAr,-7.219623469808508
ACKr,7.219623469808508
MOAT,0.0
UDCPDPS,0.0
USHD,0.0
TDSK,0.0
NTPP1,0.0
NTPP2,0.0
IPMD,0.24208046058704685
AIRC3,0.0
ADSL2r,0.0
TMDS,0.005561190069241397
PPCDC,0.0027724485110807977
FTHFD,0.0
EDD,0.0
DHAD1,0.0
IPPMIa,0.24208046058704683
FUM,15.661196922616732
PYAM5PO,0.0
OHPBAT,0.0
GLUTRR,0.0
GLCS1,0.0
GLCP,0.0
HEMEOS,0.0
AGMT,0.0
ARGDC,0.0
AGPR,0.0
SPMS,0.0
G1SAT,0.0
KDOCT2,0.0
OAADC,0.0
ALTRH,0.0
PGAMT,0.0
UAGDP,0.0
UAGCVT,0.0
GLUR,0.0
UAG2E,0.0
MACPD,0.0
DMQMT,-4.0013521468550615e-15
ICHORS_copy1,0.0
HACD5,-0.16603051978548256
HPPK2,0.0
PTPATi,0.0027724485110807973
DXPRIi,0.0
OPHBDC,0.0
OHPHM,0.0
GHMT2r,-0.050235489860939266
DHORD2,0.0
ADK4,0.0
ABTA,10.750781991190701
SSALx,0.0
ASPT,4.910414931426032
THRD,0.0
KARA1,0.0
KARA2,-0.17065104515347868
ACCOAC,0.026230631110002043
NADK,0.002933630214225173
DHBD,0.0
RBP4E,0.0
NTD4,0.0
HACD6,-0.16603051978548258
ECOAH1,0.16603051978548244
ECOAH2,0.1660305197854825
ECOAH3,0.1660305197854825
DXPS,0.0
CDPMEK,0.0
MECDPS,0.0
XYLI2,-0.7552816901408452
PMANM,0.0
ICL,0.0
GLYCL,0.018258257076407835
UDPG4E,0.0
TRE6PH,0.0
XYLI1,0.21361502347417838
PPC,0.0
DHPPD,0.0
DHCIND,0.0
GOFUCR,0.0
GTPCII2,0.0
SADT2,3.4184501986266875
LCARS,0.0
ALCD19,0.0
SBTPD,0.0
GLTPD,0.0
MANAO,0.0
PGLYCP,0.0
GLXCL,0.004864988057167061
GLCRAL,0.0
KAS14,0.0
EDTXS1,0.0
EDTXS2,0.0
EDTXS3,0.0
EDTXS4,0.0
NNDPR,0.0062122756150972055
HACD4,-0.16603051978548253
HACD7,-0.16603051978548258
SDPDS,0.0
DKGLCNR2y,0.0
2DGULRy,0.0
NTD10,0.0
ADPT,0.10889527934066925
