Reaction,Flux
ALATA_D2,0.0
SHCHD2,0.0
CPPPGO,0.0
GTHOr,0.0
DHORD5,0.0
PFK_3,5.497221700988355
TRPS2,0.0
LEUTAi,0.2956851741385362
G5SD,0.0
ALATA_L2,0.0
MAN6PI,0.0
APRAUR,0.0
DB4PS,0.0
RBFK,0.0
RBFSb,0.0
DMATT,0.0
GRTT,0.0
UPPDC1,0.0
HCO3E,0.0
IMPC,0.0
IMPD,0.0
ECOAH4,0.2027952319490472
GLUTRS,0.0
TMPPP,0.0
NDPK5,0.0
ICDHyr,-9.423145460272536
ACS,0.0
PPCK,0.0
ALATA_L,0.0
XYLK,0.2136150234741784
RBK,0.0
GLYK,0.0
GLGC,0.0
PYK,9.466488352096667
A5PISO,0.0
IPPMIb,-0.29568517413853757
PSCVT,0.0
ANS,0.0
ANPRT,0.0
CHORM,0.0
CHORS,0.0
IGPS,0.0
ECOAH6,0.20279523194904722
ENO,11.786943118119778
FBA,0.0
MGSA,0.0
PPS,0.0
PGI,-3.70774647887324
PGK,-12.197869181464014
EDA,0.0
RPE,1.2055550343216883
TALA,4.787636672090422
TKT1,0.7095850288979334
G6PDA,0.3703051643192488
ALDD2y,0.0
FMNAT,0.0
NMNAT,0.0
NDPK6,0.009780576156456994
NDPK8,0.0
PTRCTA,0.0
CYSDS,0.0
ILETA,0.08072785318457229
VALTA,-0.6319897784070527
RBFSa,0.0
DHAD2,0.08072785318457229
POX,0.0
UDCPDPS,0.0
LPADSS,0.0
IPMD,0.2956851741385375
AIRC3,0.0
ADSL2r,0.0
PUNP5,-0.31866197183098727
PUNP7,-1.1572769953051645
TMDS,0.00978057615645699
PPCDC,0.0035166060407610025
FTHFD,0.0
EDD,0.0
PUNP3,-0.4812206572769953
DHAD1,0.3637888653019619
IPPMIa,0.29568517413853757
NADH9,0.0
NADH10,0.0
MDH,-9.858582482749148
PYDXNK,0.0
PYAM5PO,0.0
OHPBAT,0.0
GLCS1,0.0
HEMEOS,0.0
AGPR,0.0
G1SAT,0.0
KDOCT2,0.0
OAADC,0.0
MNNH,0.0
ALTRH,0.0
GUI1,0.0
UAGCVT,0.0
GLUR,0.0
MACPD,0.0
DMQMT,0.0
HACD5,-0.20279523194904722
HPPK2,0.0
PTPATi,0.0035166060407610025
DXPRIi,0.0
OPHBDC,0.0
OHPHM,0.0
GHMT2r,-0.08664850672549915
DHORD2,0.0
ADK4,0.0
ABTA,0.0
SSALx,0.0
ASPT,0.6568337988865934
THRD,0.0
ACCOAC,0.0
NADK,0.003721050793717145
DHBD,0.0
RBK_L1,0.0
RBP4E,0.0
NTD4,0.0
HACD6,-0.20279523194904722
ECOAH1,0.20279523194904717
ECOAH2,0.20279523194904714
ECOAH3,0.20279523194904714
UGLT,0.0
DXPS,0.0
CDPMEK,0.0
MECDPS,0.0
XYLI2,0.7552816901408451
GLYCL,0.0
UDPG4E,0.0
XYLI1,0.21361502347417838
DHPPD,0.0
DHCIND,0.0
GOFUCR,0.0
PYDXK,0.0
GTPCII2,0.0
SADT2,0.10896052246094955
LCARS,0.0
SBTPD,0.0
PFK_2,0.0
TAGURr,0.0
GLXCL,0.0
KAS14,0.0
NNDPR,0.007879722875862836
HACD4,-0.20279523194904717
HACD7,-0.20279523194904725
DKGLCNR2y,0.0
2DGULRy,0.0
NTD10,0.0
ADPT,0.0
ADK1,-0.7265576215719415
OCTDPS,0.0
ACNML,0.0
SERASr,0.0
DDGALK,0.0
GMHEPK,0.0
TRE6PS,0.0
CYTK1,-0.10139761597452362
CYTK2,0.0
GK1,-0.1247746158884646
HACD1,-0.2027952319490472
HACD2,-0.2027952319490471
ACACCT,0.0
BUTCT,0.0
2DGULRx,0.0
G1PTT,0.0
TDPGDH,0.0
TDPDRE,0.0
TDPDRR,0.0
UAPGR,0.0
NDPK7,0.0
GLYAT,5.279551853732801e-16
GMHEPPA,0.0
S7PI,0.0
TRPS3,0.0
CRNCDH,0.0
GTPDPK,0.0
NDPK2,0.0
NDPK3,0.0
