Reaction,Flux
ALATA_D2,0.0
SHCHD2,0.0
CPPPGO,0.0
GTHOr,0.0
DHORD5,0.7292272579017398
PFK_3,0.0
TRPS2,0.0
LEUTAi,1.3136065122046576
G5SD,0.07994874420611606
ALATA_L2,0.0
MAN6PI,0.0
APRAUR,0.0
DB4PS,0.0
RBFK,0.0
RBFSb,0.0
DMATT,0.0
GRTT,0.0
UPPDC1,0.0
HCO3E,-4.907966389644124
IMPC,5.185021818201171
IMPD,4.909997055015202
ECOAH4,0.9009350506275604
GLUTRS,0.0
TMPPP,0.0
NDPK5,0.0
ICDHyr,0.0
ACS,0.0
PPCK,2.2068860928897407
ALAR,0.0
XYLK,0.2136150234741784
GLYK,0.0
GLGC,0.0
PYK,0.0
A5PISO,0.0
IPPMIb,-1.3136065122046579
PSCVT,-0.40098893712384254
ANS,0.0
ANPRT,0.0
CHORM,0.40098893712384254
CHORS,0.4009889371238426
IGPS,0.0
ECOAH6,0.9009350506275604
ENO,0.0
FBA,5.421497026710214
MGSA,0.0
PPS,0.0
PGI,0.04580646440423881
PGK,-11.079811433590015
RPE,0.18737391364966408
TALA,-0.4009889371238425
TKT1,0.4009889371238425
G6PDA,0.37030516431924887
ALDD2y,0.0
FMNAT,0.0
NMNAT,0.0
HMPK1,0.0
NDPK6,0.0
NDPK8,0.0
PTRCTA,2.304954657679156
ILETA,-0.19077652879680201
VALTA,-0.7706538448568944
RBFSa,0.0
DHAD2,0.0
PTAr,0.0
UDCPDPS,0.0
LPADSS,0.0
NTPP1,0.0
NTPP2,0.0
IPMD,1.3136065122046579
AIRC3,-5.1850218182011725
ADSL2r,5.185021818201173
PUNP5,-0.3186619718309859
PUNP7,-5.996841791038301
TMDS,0.046340143524685025
PPCDC,0.01504419815658706
FTHFD,0.0
EDD,0.0
PUNP3,-0.4812206572769953
DHAD1,2.099304555218139
IPPMIa,1.3136065122046579
NADH9,0.0
NADH10,0.0
MDH,-8.73313807714843
PYAM5PO,0.0
OHPBAT,0.0
GLCS1,0.0
G1SAT,0.0
KDOCT2,0.0
MNNH,0.0
ALTRH,0.0
GUI1,0.0
UAGDP,0.0
UAGCVT,0.0
GLUR,0.0
MACPD,0.0
HACD5,-0.9009350506275603
HPPK2,0.0
PTPATi,0.015044198156587063
HEX7,3.707746478873239
DXPRIi,0.0
OPHBDC,0.0
GHMT2r,-2.186386712653825
DHORD2,0.05279798277150447
ADK4,0.0
ABTA,2.931007647736059
SSALx,1.3226438157660676
ASPT,0.0
THRD,0.0
ACCOAC,0.1423358488404185
DHBD,0.0
RBK_L1,0.0
RBP4E,0.0
NTD2,0.08344329259916392
NTD4,0.0
HACD6,-0.9009350506275603
ECOAH1,-0.9384362325237391
ECOAH2,0.9009350506275604
ECOAH3,0.9009350506275604
DXPS,0.0
CDPMEK,0.0
MECDPS,0.0
XYLI2,-2.9524647887323945
GLYCL,1.73478681728597
UDPG4E,0.0
LACZ,0.0
TRE6PH,0.0
XYLI1,0.21361502347417838
DHPPD,0.0
DHCIND,0.0
GOFUCR,0.0
GTPCII2,0.0
SADT2,0.4834877570379876
ALCD19,0.0
SBTPD,0.0
PFK_2,0.0
GLTPD,0.0
TAGURr,0.0
GLXCL,0.0
KAS14,0.0
NNDPR,0.03370980740787598
HACD4,-0.9009350506275603
HACD7,-0.9009350506275603
SDPDS,0.0
DKGLCNR2y,0.0
2DGULRy,0.0
RZ5PP,0.0
NTD10,4.8395647957331365
ADK1,0.0
OCTDPS,0.0
AMANK,0.0
CAT,0.0
SERASr,0.0
ACMAMUT,0.0
ACGAMT,0.0
GMHEPK,0.0
TRE6PS,0.0
TREH,0.0
CYTK1,-0.8571576661588505
CYTK2,0.0
GK1,-0.5516529165590571
HACD1,0.9384362325237391
HACD2,-0.9009350506275603
ACACCT,0.0
BUTCT,0.0
2DGULRx,0.0
G1PTT,0.0
TDPGDH,0.0
UDPGALM,0.0
TDPDRE,0.0
TDPDRR,0.0
ALLTN,0.0
UAPGR,0.0
NDPK7,0.0
