Reaction,Flux
ALATA_D2,0.0
SHCHD2,0.0
CPPPGO,0.0
GTHOr,0.013919109741669317
DHORD5,0.0
TRPS2,0.0
LEUTAi,0.3158362335320244
SHK3Dr,0.019114819877678064
G5SD,0.0
ALATA_L2,0.0
APRAUR,0.0
DB4PS,0.0
RBFK,0.0
RBFSb,0.0
DMATT,0.0
GRTT,0.0
UPP3S,0.0
UPPDC1,0.0
HCO3E,0.0
IMPC,0.0
IMPD,0.0
ECOAH4,0.2166158057252842
GLUTRS,0.0
TMPPP,0.0
NDPK5,-0.012221659304695003
CS,7.259241450972627
ICDHyr,-7.259241450972627
ACS,0.0
PPA,0.0
ALAR,0.0
ALATA_L,-0.6023151429726226
RBK,1.47593896713615
PYK,10.821617464330114
A5PISO,0.0
IPPMIb,-0.31583623353202434
PSCVT,-0.019114819877678067
ANS,0.0
ANPRT,0.01911481987767806
CHORM,0.0
CHORS,0.019114819877678064
IGPS,0.01911481987767806
ECOAH6,0.21661580572528427
ENO,12.952324440739297
MGSA,0.0
PPS,0.0
PGI,-2.9524647887323945
PGK,-13.390905587692345
EDA,0.0
RPE,1.43402125784469
TALA,5.47095087156567
TKT1,0.833375550598273
ALDD2y,0.0
FMNAT,0.0
NADDP,0.0
HMPK1,0.0
NDPK6,0.0
NDPK8,-0.006158101485646906
PTRCTA,0.0
NDP3,0.0
ILETA,0.03192740996401592
VALTA,-0.02743438734262544
ORPT,0.0
RBFSa,0.0
DHAD2,0.031927409964015926
ACKr,3.952720644135024
MOAT,0.0
UDCPDPS,0.0
USHD,0.0
LPADSS,0.0
TDSK,0.0
NTPP1,0.0
NTPP2,0.0
IPMD,0.31583623353202445
AIRC3,0.0
ADSL2r,0.0
TMDS,0.006341174993524785
TMDK1,0.0
PPCDC,0.0037562641074794243
FTHFD,0.0
LYSAM,0.0
DHAD1,0.3470268849821292
IPPMIa,0.3158362335320244
FUM,21.69203134812975
PYAM5PO,0.0
OHPBAT,0.0
GLUTRR,0.0
HEMEOS,0.0
ADMDC,0.0
AGPR,0.0
SPMS,0.0
G1SAT,0.0
KDOCT2,0.0
OAADC,0.0
PGAMT,0.0
UAGDP,0.0
UAGCVT,0.0
MACPD,0.0
DMQMT,0.0
HACD5,-0.2166158057252843
HPPK2,0.0
PTPATi,0.0037562641074794243
DXPRIi,0.0
OHPHM,0.0
GHMT2r,-0.09220394897610726
DHORD2,0.0
ADK4,0.0
ABTA,7.022756398310851
SSALx,0.0
ASPT,14.669274949818899
THRD,0.5255358121222746
KARA1,-0.34702688498212925
KARA2,-0.031927409964015926
ACCOAC,0.0
NADK,0.003974641849705234
DHBD,0.0
NTD2,0.0
NTD4,0.0
HACD6,-0.2166158057252843
ECOAH1,0.2166158057252841
ECOAH2,0.2166158057252841
ECOAH3,0.21661580572528416
DXPS,0.0
CDPMEK,0.0
MECDPS,0.0
XYLI2,0.0
PMANM,0.0
ICL,0.0
GLYCL,0.0
UDPG4E,0.0
TRE6PH,0.0
XYLI1,0.2136150234741784
PPC,0.0
DHPPD,0.0
DHCIND,0.0
GTPCII2,0.0
SADT2,0.11638622436180872
ALCD19,0.5786384976525841
SBTPD,0.0
GLTPD,0.0
MANAO,0.0
PGLYCP,0.0
GLXCL,0.578638497652584
KAS14,0.0
EDTXS1,0.0
EDTXS3,0.0
NNDPR,0.008416729048516978
HACD4,-0.21661580572528422
HACD7,-0.21661580572528433
SDPDS,-1.471373082194052e-16
DKGLCNR2y,0.0
2DGULRy,0.0
RZ5PP,0.0
NTD10,0.0
ADPT,0.0
ADK1,0.5151307821039146
OCTDPS,0.0
CAT,0.5720471471011078
SERASr,0.0
DDGALK,0.0
GP4GH,0.0
ACGAMT,0.0
TRE6PS,0.0
TREH,0.0
CYTK1,-0.1120641669701216
CYTK2,0.0
GK1,-0.13707108118898154
HACD1,-0.2166158057252841
HACD2,-0.21661580572528416
ACACCT,0.0
BUTCT,0.0
2DGULRx,0.0
G1PTT,0.0
TDPGDH,0.0
TDPDRE,0.0
