Reaction,Flux
2S6HCCi,2.5160672757624816e-05
ABTA,0.0
ABUTD,0.0
MACCOAT,0.0
ACACT1r,0.0416026563368469
ACACT2r,-0.002646221733335759
ACACT3r,-0.002646221733335759
ACACT4r,-0.002646221733335759
ACACT5r_1,-0.002646221733335759
ACACT6r_1,-0.002646221733335759
ACACT7r,-0.0020355551794890457
ACGK,0.0
ACGS,0.0
ACLS,1.8078314215633153
ACOAD1,0.08285300101832728
ACOADH2,0.0
ACOAD2,0.002646221733335759
ACOAD20,0.0
ACOAD3,0.002646221733335759
ACOAD4_1,-0.002646221733335759
ACOAD5_1,-0.002646221733335759
ACOAD6,0.002646221733335759
ACOAD7,0.0020355551794890452
ACONT,0.04843190806732976
ACOTA,0.0
ACS,0.0
ACS2,0.0
ADCS,3.471416128593724e-05
ADK1,-0.1992370565062549
ADK2,0.0
ADPDA,0.0
ADPRDP,0.0
ADPT,0.0
ADSK,0.0
ADSS,0.015636342636077518
AGPATr_BS,-0.010177775897445228
AGPR,0.0
AHSERL3,0.0
AHSERL4,0.0
AICART,0.006510814764814218
AIRC1,0.0
AKGDH,0.0
AKP1,3.471416128593724e-05
ALAALAr,-0.00963076773745521
ALAD_L,0.0
ALAR,-1.4586028134519564
ALATA_L,-1.5329904637188347
ALCD19y,0.0
ALCD19_L,0.0
ALCD2y,0.0
ALDD10,0.0
ALDD11,0.0
ALDD12,0.0
ALDD13,0.0
ALDD14,0.0
ALDD15,0.0
ALDD16,0.0
ALDD17,0.0
ALDD18,0.0
ALDD1,0.0
ALDD20x_1,0.0
ALDD2x,0.0
ALDD3,0.0
GLXO1,0.0
ALDD31_1,0.0
ALDD32,0.0
ALDD4,0.0
ALDD4x,0.0
ALDD5,0.0
ALDD6,0.0
ALDD7,0.0
ALDD8,0.0
ALDD9,0.0
ALKP,0.0
AMAOTr,0.0
AMMQT7,2.5160672757624823e-05
ANPRT,0.002055097169366947
ANS,0.002055097169366947
AOXSr,0.0
APRAUR,0.0
APSR,0.01259184057888446
APTA1i,0.0
ARABRr,0.0
ARGSL,0.0
ARGabc,0.014856974172255661
ASAD,0.041250344681480235
ASP1DC,0.0
ASPCT,0.0
ASPK,-0.041250344681480235
ASPO6,0.001081422145156477
ASPO1,0.0
ASPT,0.0
ASPTA,-0.09695253539059347
ATPPRT,-0.006510814764814217
BETALDHx,0.0
BILEt4,0.0
BTDD_RR,0.0
BTS_1,0.0
CA2abc1,0.0
CAT,0.7131905764717706
CBPS,0.0
CD2abc1,0.0
CD2t4,0.0
CDGPT_BS,0.0019674511028518653
CDPDSP_BS,0.00529698373844733
CDPMEK,0.0
CHORS,0.0021149720034104973
CPPPGO,0.0
CS,0.04843190806732976
CTPS1,0.0
CTPS2,0.0
CYSS_2,0.0
CYSTGL,0.0
CYSTL,0.17747931421428886
CYSTS,0.18124361380085818
CYTD,0.0
CYTK1,-0.06036935923702427
CYTK2,0.0
Cut1,0.0
DADK,-0.0007107571493327119
DDPA,0.0021149720034104977
DAPDC,0.022792035951709887
DAPE,0.03242280368916509
DB4PS,0.0
DBTS,0.0
DCYTD,0.0
DGK1,-0.0015574967689414956
DHAD1,1.8078314215633156
DHAD2,0.0
DHAD3,0.0
DHBD,0.0
DHBS,0.0
DHDPRy,0.03242280368916509
DHDPS,0.03242280368916509
FOLR2,0.0
DHFR,-0.0007917620028929884
DHFS,3.471416128593725e-05
DHNAOT7,0.0
DHNPA_1,3.471416128593725e-05
DHORTS,0.0
DHPPDA,0.0
FOLD3,3.471416128593725e-05
DHQS,0.0021149720034104977
DKII,0.0
DPCOAK,0.0004826230196394981
DRPA,-0.0030001410871237128
DTMPK,-0.0007318871688494262
DURIPP,0.000757047841607051
DUTPDP,0.0
DXPRIi,0.0001761247093033737
DXPS,0.0001761247093033737
ECOAH1_1,0.0
ECOAH2,0.0026462217333357596
ECOAH2c,0.0
ECOAH3,0.0026462217333357596
ECOAH4,0.0026462217333357596
ECOAH5_1,0.0026462217333357596
ECOAH6,0.0026462217333357596
ECOAH7,0.0020355551794890457
ECOAH9ir,0.0
ENO,4.6707560226043885
FACOAL140,0.0
FACOAL140_ISO,-0.00020355551794890456
FACOAL150_ISO,-0.004071110358978091
FACOAL160,0.0
FACOAL160_ISO,-0.0010177775897445228
FACOAL161_ISO,0.0
FACOAL170_ISO,-0.001424888625642332
FACOAL171_ISO,0.0
FACOAL171_anteiso,0.0
FACOAL180_2,-0.0006106665538467136
FDMO_1,0.0
FDMO1,0.0
FDMO2_1,0.0
FDMO3_1,0.0
FDMO4_1,0.0
FDMO5_1,0.0
FDMO6_1,0.0
FEDCabc,0.0
FMETDF,0.0
FMETTRS_1,0.0
FMNAT,1.9537510203808684e-17
FUM,0.14538444345792317
G1Dx,0.0
G1PACT,0.030928142158840658
G3PD1ir,2.378535058425891
G3PD4,0.0
G5SD,0.0
GALUi,0.023800010059811163
GAPDi_nadp,0.0
GARFT,0.0
GART,0.0
GBEZY,0.0
GCALDD,3.471416128593725e-05
GF6PTA,0.0
GHMT2r,0.21360559050030786
GK1,-0.00739776396101941
GK2,0.0
GLNS,0.03735705855636849
GLNabc,0.0
GLTPD,0.0
GLU5K,0.0
GLUPRT,0.0
GLUR,-0.009630767737455212
GLUSy,0.0
GLUTRR,0.0
GLUTRS,0.0
GLYAT,0.0
GLYCK,0.0
GLYCt,3.2070643229877254
GLYK,0.0
GMPR,0.0
GMPS2,0.0
GPDDA1,0.0
GPDDA2,0.0
GPDDA4,0.0
GTHPe,0.0
GTPCI,3.471416128593724e-05
GTPCII,0.0
GTPDPK,0.0
GUAPRT,0.0031097055486226134
GUAt2r,0.004667202317564107
HEMEOS_1,0.0
HEX1,0.0
HISDr,0.0
HISTD,0.0
HMBS,0.0
HMGL,0.0
HOXPRx,-1.735708064296862e-05
HP5CD_1,0.0
HPPK,3.471416128593724e-05
HSDy,0.00882754099231516
HSK,0.0
HSTPTr,-0.006510814764814221
HXANt2r,0.0
ICDHyr,-0.04843190806732976
ICHORS,2.5160672757624816e-05
