Reaction,Flux
ALATA_D2,0.0
SHCHD2,0.0
CPPPGO,0.0
GTHOr,0.0
DHORD5,0.0
GLYCTO2,0.0
GLYCTO3,0.0
GLYCTO4,0.0
TRPS2,0.0
LEUTAi,0.38887410938892364
SHK3Dr,0.14224211202485787
G5SD,0.0
ALATA_L2,0.0
APRAUR,0.0
DB4PS,0.0
RBFK,0.0
RBFSb,0.0
DMATT,0.0
GRTT,0.0
UPPDC1,0.0
TMDPP,0.0
HCO3E,0.0
IMPC,0.0
IMPD,0.0
ECOAH4,0.26670872302700177
GLUTRS,0.0
TMPPP,0.0
NDPK5,0.0
DHORTS,0.0
OMPDC,0.0
CS,4.127979701115055
ACS,0.0
PPCK,3.041689592415231
ALAR,0.0
RBK,0.0
GLYK,0.0
PPM,2.1696760600291727
ASPTA,-0.26309217964313525
FBP,0.0
PYK,0.0
A5PISO,0.0
IPPMIb,-0.3888741093889237
ACLS,0.16207389257312013
ANS,0.0
ANPRT,0.023535167174883537
CHORM,0.11870694484997431
CHORS,0.1422421120248579
IGPS,0.023535167174883537
ECOAH6,0.2667087230270016
ENO,5.454744560427262
PGK,-5.454744560427262
EDA,0.0
RPE,1.3054886844861193
TALA,0.0
TKT1,0.8306729099925779
ALCD2x,0.0
ALDD2y,0.0
FMNAT,0.0
NADDP,0.0
HMPK1,0.0
NDPK6,0.007457759733842333
NDPK8,0.0
DURIPP,0.0
PTRCTA,0.0
CYSDS,0.0
ILETA,-1.5998448713161336e-17
VALTA,0.23125383295219384
DHAD2,-1.5998448713161333e-17
POX,0.0
MOAT,0.0
UDCPDPS,0.0
LPADSS,0.0
TDSK,0.0
NTPP1,0.0
NTPP2,0.0
NTPTP1,0.0
NTPTP2,0.0
IPMD,0.3888741093889237
AIRC3,0.0
PUNP5,-0.4767401811688724
PUNP7,-1.157276995305164
TMDS,0.007457759733842332
PPCDC,0.004453616136385536
FTHFD,0.14428520959121602
EDD,0.0
PUNP3,-0.3121283986175316
LYSAM,0.0
DHAD1,0.16207389257312013
IPPMIa,0.38887410938892364
MDH,-7.432761473173421
PYAM5PO,0.0
GLCS1,0.0
GLCP,0.0
HEMEOS,0.0
ARGDC,0.0
G1SAT,0.0
KDOCT2,0.0
OAADC,0.0
ALTRH,0.0
PGAMT,0.0
UAGDP,0.0
UAGCVT,0.0
GLUR,0.0
MACPD,0.0
DMQMT,0.0
HACD5,-0.2667087230270017
HPPK2,0.0
PTPATi,0.004453616136385537
HEX7,0.0
DXPRIi,0.0
OHPHM,0.0
GHMT2r,2.398949051904138
DHORD2,0.0
ADK4,0.0
ABTA,5.0975009239210465
SSALx,0.0
ASPT,2.1651170757130322
THRD,0.5033031217101404
KARA1,-0.16207389257312013
KARA2,0.0
ACCOAC,0.0
NADK,0.004712535799321118
DHBD,0.0
RBP4E,0.0
NTD4,0.0
HACD6,-0.2667087230270016
ECOAH1,1.3963450587945276
ECOAH2,1.3963450587945276
ECOAH3,0.2667087230270018
DXPS,0.0
CDPMEK,0.0
MECDPS,0.0
DDGLK,0.0
UDPG4E,0.0
TRE6PH,0.0
PPC,0.0
DHPPD,0.0
DHCIND,0.0
GOFUCR,0.0
SADT2,0.1431295210336962
LCARS,0.0
ALCD19,0.0
SBTPD,0.0
GLTPD,0.0
PGLYCP,0.0
GLXCL,0.0
GLCRAL,0.0
KAS14,0.0
NNDPR,0.009979298375591299
HACD4,-0.26670872302700177
HACD7,-0.2667087230270016
SDPDS,0.0
DKGLCNR2y,0.0
2DGULRy,0.0
RZ5PP,0.0
NTD9,0.0
NTD10,0.0
ADPT,0.0
ADK1,0.0
OCTDPS,0.0
AMANK,0.0
ACNML,0.0
CAT,0.0
SERASr,0.0
DDGALK,0.0
AMALT1,0.0
MLTP2,0.0
GP4GH,0.0
TRE6PS,0.0
CYTK1,-0.1333543615135008
CYTK2,0.0
GK1,-0.16909225865946376
HACD1,-1.3963450587945274
HACD2,-1.3963450587945276
ACACCT,0.0
BUTCT,0.0
2DGULRx,0.0
