Reaction,Flux
2S6HCCi,0.0003154449195776449
3AMBAt2,0.0
AB6PGH,0.0
ABTA,0.0
ABUTD,0.0
MACCOAT,0.0
ACACT1r,-0.04083232883796038
ACACT2r,-0.04083232883796037
ACACT3r,-0.040832328837960376
ACACT4r,-0.04083232883796038
ACACT5r_1,0.0
ACACT6r_1,-0.04083232883796039
ACACT7r,-0.03317626718084282
ACGK,0.0
ACGS,0.0
ACHBS,0.4302589984933923
ACKr,-0.3703051643192488
ACLS,0.3186065102791392
ACOAD1,-0.04083232883796036
ACOADH2,0.0
ACOAD2,0.0
ACOAD20,0.0
ACOAD3,0.0
ACOAD4_1,0.0
ACOAD5_1,-0.04083232883796039
ACOAD6,0.0408323288379604
ACOAD7,-3.0279147370302373
ACODA_1,0.0
ACONT,0.0
ACOTA,0.0
ACS,0.0
ACS2,0.0
ADCS,0.00043521911836463014
ADK1,-4.491254609219703
ADK2,0.0
ADNt2,-0.1813380281690141
ADPDA,0.0
ADPRDP,0.0
ADPT,0.0
ADSK,0.0
ADSL1r,-0.9732872051778046
ADSL2r,0.0
ADSS,0.9732872051778046
AGMT,0.0
AGPR,0.0
AHCYSNS,0.0
AHMMPS_1,0.0
AHSERL3,0.0
AHSERL4,0.0
AICART,0.0
AIRC1,0.0
AKGDH,0.0
ALAALAr,-0.12074306532570335
ALAD_L,0.0
ALAR,-0.41796333255722284
ALATA_L,-1.3505777575389424
ALCD19y,0.0
ALCD19_L,0.0
ALCD2y,0.0
ALDD10,0.0
ALDD11,0.0
ALDD12,0.0
ALDD13,0.0
ALDD14,0.0
ALDD15,0.0
ALDD16,0.0
ALDD17,0.0
ALDD18,0.0
ALDD1,0.0
ALDD20x_1,0.0
ALDD2x,0.0
ALDD3,0.0
GLXO1,0.0
ALDD31_1,0.0
ALDD32,0.0
ALDD4,0.0
ALDD4x,0.0
ALDD5,0.0
ALDD6,0.0
ALDD7,0.0
ALDD8,0.0
ALDD9,0.0
ALLTN,0.0
AMAOTr,0.0
AMMQT7,0.0
ANPRT,0.0
ANS,0.0
AOXSr,0.0
APRAUR,0.0
APSR,0.0
APTA1i,0.0
ARABRr,0.0
ARAI,0.0
ARBt2r,0.0
ARGDC,0.0
ARGN_1,0.0
ARGSL,0.0
ARGSS,-2.833370026551022e-15
ASAD,1.4251253260353598
ASNS1,0.0
ASP1DC,0.0
ASPCT,0.0
ASPK,-1.4251253260353598
ASPO6,0.0
ASPO1,0.0
ASPT,0.0
ATPPRT,0.0
BETALDHx,0.0
BLACT,0.0
BTDD_RR,0.0
BTS_1,0.0
BUTSabc,0.0
CA2abc1,0.0
CAT,0.0
CAt4,-0.05690265311042197
CBPS,0.0
CD2abc1,0.0
CD2t4,0.0
CDGPT_BS,0.024666369651184263
CDPDSP_BS,0.06640945675318839
CDPMEK,0.0
CHORS,0.0007506640379422754
CPPPGO,0.0
CRO4t3,0.0
CS,0.0
CSNt2,0.0
CTPS1,0.0
CTPS2,0.04286517208541335
CYSS_2,0.0
CYSTGL,0.0
CYSTL,0.0
CYSTS,0.0
CYTD,0.0
CYTK1,-0.7126247534640573
CYTK2,0.0
Cut1,0.0
D4DGCD,0.0
DADK,-0.01017926346528602
DADNt2,0.0
DDPA,0.0
DAPDC,0.0
DB4PS,0.0
DBTS,0.0
DCYTD,0.0
DGK1,-0.01832016840439575
DHAD1,0.3186065102791392
DHAD2,0.1301530481709988
DHAD3,0.3001059503223935
DHBD,0.0
DHBS,0.0
DHDPRy,0.12074306532570336
DHDPS,0.12074306532570335
FOLR2,0.0
DHFR,-0.010917100764683494
DHFS,0.0004352191183646302
DHNPA_1,0.0004352191183646301
DHORTS,0.0
DHPPDA,0.0
FOLD3,0.00043521911836463025
DHQS,0.0007506640379422754
