Reaction,Flux
23CN2P1,0.0
23CN2P2,0.0
23CN2P3,0.0
23CN2P4,0.0
26DPAi,0.0
3AMBAt2,0.0
3NUCLE1,0.0
3NUCLE2,0.0
3NUCLE3,0.0
3NUCLE4,0.0
AB6PGH,0.0
ABTA,0.36635657671323385
ABUTD,0.0
MACCOAT,1.1512641271340212e-16
ACACT1r,0.3197081444202344
ACACT2r,-0.10024209752875061
ACACT3r,-0.1002420975287506
ACACT4r,-0.1002420975287506
ACACT5r_1,-0.10024209752875061
ACACT6r_1,-0.10024209752875061
ACACT7r,-0.07710930579134662
ACCOAC,3.647270163930694
ACGK,0.0
ACGS,0.0
ACKr,0.0
ACLS,2.3001469361483307
ACOAD1,17.68745614842767
ACOADH2,0.0
ACOAD2,0.1002420975287506
ACOAD20,0.0
ACOAD3,0.1002420975287506
ACOAD4_1,-0.1002420975287506
ACOAD5_1,-0.1002420975287506
ACOAD6,0.1002420975287506
ACOAD7,0.0771093057913466
ACONT,16.395602936143515
ACOTA,0.0
ACPS1,0.0
ACPpds,0.0
ACS,0.0
ACS2,0.0
ADADir,0.0
ADCL,0.0013150146480215704
ADCS,0.0013150146480215704
ADD,0.0
ADK1,6.577820662566634
ADK2,0.0
ADMDC,5.2860020386120235e-18
ADNK1,0.28977453428744443
ADPDA,0.0
ADPRDP,0.0
ADPT,0.0
ADSK,0.0
ADSL1r,-0.055911559720380505
ADSL2r,1.4016354684081463e-17
ADSS,0.0559115597203805
AGMT,0.0
AGPATr_BS,-0.385546528956733
AGPR,0.0
AHCYSNS,0.0
AHSERL3,0.0
AHSERL4,0.0
AICART,1.401635468408146e-17
AIRC1,0.0
AKGDH,16.770878545222555
AKP1,0.0
ALAALAr,-0.3648251945983984
ALAD_L,0.0
ALAR,-1.2628762879579138
ALATA_L,-3.5623763971827045
ALCD19y,0.0
ALCD19_L,0.0
ALCD2y,0.0
ALDD10,0.0
ALDD11,0.0
ALDD12,0.0
ALDD13,0.0
ALDD14,0.0
ALDD15,0.0
ALDD16,0.0
ALDD17,0.0
ALDD18,0.0
ALDD2x,0.0
ALDD3,0.0
GLXO1,0.6169396006549541
ALDD32,0.0
ALDD4,0.0
ALDD4x,0.0
ALDD5,0.0
ALDD6,0.0
ALDD7,0.0
ALDD8,0.0
ALDD9,0.0
ALKP,-23.998523834851472
ALLTN,2.2844522709882575
ALTRH,0.0
AMAOTr,0.0
AMMQT7,0.0
ANPRT,0.0
ANS,0.0
AOXSr,0.0
APRAUR,0.0
APSR,0.0
APTA1i,0.0
ARABRr,0.0
ARAI,0.0
ARBabc,0.0
ARGDC,0.0
ARGN_1,1.381857465931554
ARGSL,-0.9505262608652625
ARGSS,0.0
ARGabc,0.0
ARSENBabc,0.0
ARSt1,0.0
ASNS1,0.0
ASP1DC,1.3440084010304332
ASPCT,5.174383843020109e-17
ASPK,-0.7402002019091578
ASPO6,0.0
ASPO1,0.0
ASPT,0.0
ASPTA,-2.8184833723475444
ATPPRT,0.0
BETALDHx,0.0
BILEt4,0.0
BTDD_RR,0.0
BTS_1,0.0
CA2abc1,0.0
CAT,1.1428836428181397
CAt4,-0.17880863216204837
CBL2abc,0.0
CBPS,0.0
CD2abc1,0.0
CD2t4,0.0
CDGPT_BS,0.07452944054182198
CDPDSP_BS,0.2006561860741361
CDPMEK,0.0
CHLabc,0.0
CHOLD2,0.0
CHOLSabc_1,0.0
CHORM,0.5161264197891141
CHORS,0.0
CLPNS2_BS,0.001791573089947644
CPPPGO,0.0
CRNabc,0.0
CRO4t3,0.0
CS,16.39560293614352
CTBTabc,0.0
CTPS1,0.0
CTPS2,0.0
CYOO3,13.69671639588452
CYOR3m,13.69671639588452
CYSS_2,0.0
CYSTGL,0.0
CYSTL,0.0
CYSTS,0.0
CYTB_B2,0.0
CYTD,0.0
CYTDK1,0.0
CYTDK2,0.0
ITCY,0.0
CYTDt2,0.0
CYTK1,-2.289033186365978
CYTK2,0.0
Cut1,0.0
D4DGCD,0.0
DAAOP,0.0
DADK,-0.04179823566560593
DADNK,0.0
DAGK_BS,0.0
DDPA,0.0
DAPDC,0.0
DAPE,0.3648251945983984
DB4PS,0.0
DCYTD,0.0
DDGLCNt2r,0.0
DDGLK,0.0
DGK1,-0.04485107206706603
DGNSK,0.0
DHAD1,2.3001469361483307
DHAD2,0.0
DHAD3,0.18324360733868958
DHBD,0.0
DHDPRy,0.36482519459839846
DHDPS,0.36482519459839846
FOLR2,0.0
DHFR,-0.0013150146480215704
DHFS,0.0013150146480215704
DHNPA_1,0.0013150146480215704
DHORTS,-5.1743838430201086e-17
DHPPDA,0.0
FOLD3,0.0013150146480215704
DHQS,0.0
DINSK,0.0
DIPEPabc1,0.0
DIPEPabc10,0.0
DIPEPabc11,0.0
