Reaction,Flux
ALATA_D2,0.0
SHCHD2,0.0
CPPPGO,0.0
GTHOr,0.02961888782041489
DHORD5,0.0
GLYCTO2,0.0
GLYCTO3,0.0
GLYCTO4,0.0
TRPS2,0.0
LEUTAi,0.24213377936745928
SHK3Dr,0.0
G5SD,0.0
APRAUR,0.0
DB4PS,0.0
RBFK,0.0
RBFSb,0.0
DMATT,0.0
GRTT,0.0
UPPDC1,0.0
TMDPP,-0.49741395912444913
HCO3E,-0.02623640846707103
IMPC,0.0
IMPD,0.0
ECOAH4,0.1660670883908329
GLUTRS,0.0
TMPPP,0.0
XPPT,0.0
HXPRT,0.0
NDPK5,-0.008543021575872122
DHORTS,0.0
OMPDC,0.0
CS,7.468649336105199
ACS,0.0
PPCK,0.5588359809412549
ALAR,0.0
ALATA_L,-0.4617609585425386
RBK,0.0
GLYK,0.5786384976525825
PPM,2.620666964883822
GLGC,0.0
PYK,6.805070790758039
A5PISO,0.0
IPPMIb,-0.24213377936745933
ACLS,0.5072483460344757
PSCVT,0.0
ANS,0.0
ANPRT,0.0
CHORM,0.0
CHORS,0.0
IGPS,0.0
ECOAH6,0.16606708839083292
ENO,14.958341020420665
MGSA,0.0
PGI,-1.3626760563380285
PGK,-15.498132676246438
EDA,0.0
RPE,1.5396832930052198
TALA,-0.8766491582396992
TKT1,0.8766491582396992
ALDD2y,0.0
FMNAT,0.0
NADDP,0.0
HMPK1,0.0
NDPK6,0.0
NDPK8,-0.005590064530984226
DURIPP,0.5031702100564429
PTRCTA,0.0
CYSDS,0.0
ILETA,0.17068863144021001
VALTA,-0.26234150751774826
ORPT,0.0
RBFSa,0.0
DHAD2,0.17068863144021004
POX,0.0
PTAr,-5.0712273711986695
MOAT,0.0
UDCPDPS,0.0
LPADSS,0.0
NTPP1,0.0
NTPP2,0.0
IPMD,0.24213377936745933
AIRC3,0.0
PUNP5,-0.31866197183098577
PUNP7,-1.1572769953051645
TMDS,0.5031702100564429
TMDK1,0.0
PPCDC,0.002773059149268045
FTHFD,0.0
EDD,0.0
PUNP3,-0.37120639338065897
LYSAM,0.0
DHAD1,0.5072483460344757
IPPMIa,0.24213377936745933
FUM,6.641957099318102
PYDXNK,0.0
PYAM5PO,0.0
GLCS1,0.0
GLCP,0.0
AGMT,0.0
ARGDC,0.7796229710641002
SPMS,0.0
G1SAT,0.0
KDOCT2,0.0
OAADC,0.0
MNNH,0.0
ALTRH,0.0
PGAMT,0.0
UAGDP,0.0
UAGCVT,0.0
GLUR,0.0
MACPD,0.0
DMQMT,0.0
HACD5,-0.16606708839083292
HPPK2,0.0
PTPATi,0.002773059149268045
HEX7,2.3450704225352115
DXPRIi,0.0
OHPHM,0.0
GHMT2r,-0.3005241646849839
DHORD2,0.0
ADK4,0.0
ABTA,0.0
SSALx,0.0
ASPT,0.0
THRD,0.44142749872547765
KARA1,-0.5072483460344757
KARA2,-0.17068863144021001
ACCOAC,0.02623640846707103
NADK,0.002934276353050326
DHBD,0.0
NTD4,0.0
HACD6,-0.16606708839083292
ECOAH1,0.16606708839083295
ECOAH2,0.16606708839083292
ECOAH3,0.1660670883908329
DXPS,0.0
CDPMEK,0.0
MECDPS,0.0
DDGLK,0.0
XYLI2,-1.5897887323943662
ICL,0.0
GLYCL,0.0
UDPG4E,0.0
TRE6PH,0.0
XYLI1,0.2136150234741784
DHPPD,0.0
DHCIND,0.0
PYDXK,0.0
SADT2,0.0629464179090602
LCARS,0.0
ALCD19,0.5786384976525825
SBTPD,0.0
GLTPD,0.0
MANAO,0.0
PGLYCP,0.0
GLXCL,0.5786384976525825
GLCRAL,0.0
KAS14,0.0
NNDPR,0.006213643883139258
HACD4,-0.16606708839083292
HACD7,-0.16606708839083292
SDPDS,0.16103897299452727
DKGLCNR2y,0.0
2DGULRy,0.0
RZ5PP,0.0
NTD10,0.0
ADPT,0.0
ADK1,-0.4606366942586702
OCTDPS,0.0
AMANK,0.0
ACNML,0.0
CAT,0.5737724380705596
SERASr,0.0
DDGALK,0.0
