Reaction,Flux
2S6HCCi,0.0006131980969154808
3AMBAt2,0.0
ABTA,4.736777058689541
ABUTD,0.0
MACCOAT,0.28039713549615236
ACACT1r,2.0781822360830327
ACACT2r,-0.07937457471050084
ACACT3r,-0.07937457471050086
ACACT4r,-0.07937457471050084
ACACT5r_1,-0.07937457471050084
ACACT6r_1,-0.07937457471050084
ACACT7r,-0.06449184195228148
ACGK,3.104729255667681
ACGS,0.0
ACKr,-0.37030516431923327
ACLS,1.2353260207580874
ACOAD1,0.0
ACOADH2,0.0
ACOAD2,0.0
ACOAD20,0.14019856774807615
ACOAD3,0.0
ACOAD4_1,-0.07937457471050084
ACOAD5_1,-0.07937457471050084
ACOAD6,0.0
ACOAD7,-8.484195812653383
ACONT,0.0
ACOTA,-3.1047292556676807
ACS,0.0
ACS2,0.0
ADCS,0.0008460289532630916
ADK1,0.0
ADK2,-16.425848970990184
ADNt2,-0.1813380281690141
ADPDA,0.0
ADPRDP,0.0
ADPT,0.0
ADSK,0.0
ADSS,0.060665064274118725
AGMT,4.736777058689543
AGPATr_BS,-0.24804554597032238
AGPR,3.1047292556676807
AHSERL3,0.0
AHSERL4,0.0
AICART,0.0
AIRC1,0.0
AKGDH,0.0
AKGt2r,0.0
AKP1,0.0008460289532630915
ALAALAr,-0.23471425050241934
ALAD_L,0.0
ALAR,-0.812485173157009
ALATA_L,-2.0792495432008957
ALCD19y,0.0
ALCD19_L,0.0
ALCD2y,0.0
ALDD10,0.0
ALDD11,0.0
ALDD12,0.0
ALDD13,0.0
ALDD14,0.0
ALDD15,0.0
ALDD16,0.0
ALDD17,0.0
ALDD18,0.0
ALDD1,0.0
ALDD20x_1,0.0
ALDD2x,0.0
ALDD3,0.0
GLXO1,0.0
ALDD31_1,0.0
ALDD32,0.0
ALDD4,0.0
ALDD4x,0.0
ALDD5,0.0
ALDD6,0.0
ALDD7,0.0
ALDD8,0.0
ALDD9,0.0
ALKP,0.0
AMAOTr,0.0
AMMQT7,0.0
ANPRT,0.0
ANS,0.0
ANTIMt1,0.0
AOXSr,0.0
APRAUR,0.0
APSR,0.0
APTA1i,0.0
ARABRr,0.0
ARBt2r,0.0
ARGDC,4.736777058689543
ARGSL,-4.10472925566771
ARGSS,-4.104729255667667
ARSENBt2,0.0
ARSNAt1,0.0
ASAD,0.824193767693638
ASP1DC,0.0
ASPCT,0.05117637908583643
ASPK,-0.8241937676936378
ASPO6,0.0
ASPO1,0.0
ASPT,0.0
ASPTA,-5.069611016981856
ATPPRT,0.0
BETALDHx,0.0
BG_CELLB,0.0
BG_MADG,0.0
BG_MBDG,0.0
BILEt4,0.0
BTDD_RR,0.0
BTS_1,0.0
BUTSabc,0.0
CA2abc1,0.0
CAT,1.1960379402183443
CBL2abc,0.0
CBPS,0.0
CD2abc1,0.0
CD2t4,0.0
CDGPT_BS,0.047949324871586485
CDPDSP_BS,0.12909433619273286
CDPMEK,0.004292386678408366
CHOLD2,0.0
CHORS,0.0
CITt10,0.0
CITt11,0.0
CITt12,0.0
CITt13,0.0
CITt14,0.0
CITt15,0.0
CPPPGO,0.0
CS,2.6876973307372083
CSNt2,0.2834507042253521
CTPS1,0.0
CTPS2,0.0
CYSS_2,0.0
CYSTGL,0.0
CYSTL,0.0
CYSTS,0.0
CYTD,0.03610462551104452
CYTK1,-1.4895010025847968
CYTK2,0.0
Cut1,0.0
D4DGCD,0.0
DAAOP,0.0
DADK,0.0
DADNt2,0.0
DAPDC,0.0
DB4PS,0.0
DBTS,0.0
DCYTD,0.0
DGK1,0.0
DHAD1,1.2353260207580874
DHAD2,0.0
DHAD3,0.0
DHBD,0.0
DHBS,0.0
DHDPRy,0.23471425050241929
DHDPS,0.2347142505024193
FOLR2,0.0
DHFR,-0.02368278038528393
DHFS,0.0008460289532630915
DHNPA_1,0.0008460289532630914
DHORTS,-0.051176379085836436
DHPPDA,0.0
FOLD3,0.0008460289532630915
DHQS,0.0
DKII,0.0
DMATT,0.000613198096915481
DMPPS,0.000613198096915481
DPCOAK,0.0
DRBK,0.0
DRPA,0.0006131980969154811
DURIPP,0.0
DUTPDP,0.0
DXPRIi,0.004292386678408366
DXPS,0.004292386678408366
