Reaction,Flux
ALATA_D2,0.0
SHCHD2,0.0
CPPPGO,0.0
GTHOr,0.0
DHORD5,0.0
GLYCTO2,0.0
GLYCTO3,0.0
GLYCTO4,0.0
TRPS2,0.0
LEUTAi,3.0390838960679787
SHK3Dr,0.0
G5SD,0.0
ALATA_L2,0.0
APRAUR,0.0
DB4PS,0.0
RBFK,0.0
RBFSb,0.0
DMATT,0.0
GRTT,0.0
UPPDC1,0.0
HCO3E,0.0
IMPC,0.13981321699617055
IMPD,0.13981321699617053
ECOAH4,0.221098135932573
GLUTRS,0.0
TMPPP,0.0
NDPK5,-0.01238034404190915
DHORTS,0.0
CS,0.0
ICDHyr,0.0
ACALD,0.5526169590410892
ACS,0.0
PPA,1.3376218823216321
ALAR,0.0
ALATA_L,-1.1510527628864287
RBK,0.7253521126760563
GLYK,0.0
ASPTA,-2.0476047719522015
GLGC,0.0
PYK,4.7931136252753985
A5PISO,0.0
IPPMIb,-0.32237168594454246
ACLS,0.02275733629761188
PSCVT,0.0
ANS,0.0
ANPRT,0.0
CHORS,0.0
IGPS,0.0
ECOAH6,0.221098135932573
ENO,6.945937935222806
PPS,0.0
PGI,2.943812166049794
PGK,-6.945937935222807
EDA,0.0
PGL,0.0
RPE,3.8938047956131787
TALA,0.0
TKT1,1.9469023978065896
ALCD2x,0.0
ALDD2y,0.0
FMNAT,0.0
HMPK1,0.0
NDPK6,0.0
NDPK8,0.0
PTRCTA,0.0
CYSDS,0.08380550172934927
NDP3,0.0
ILETA,-3.841767963977496e-17
VALTA,0.30330634072520535
ORPT,0.0
RBFSa,0.0
DHAD2,-2.7184656661440366e-17
POX,0.0
PTAr,-8.804202851055429
ACKr,8.804202851055429
MOAT,0.0
UDCPDPS,0.0
USHD,0.0
LPADSS,0.0
TDSK,0.0
NTPP1,0.0
NTPP2,0.0
IPMD,0.3223716859445426
AIRC3,0.0
ADSL2r,0.13981321699617055
TMDS,0.006574374874708171
PPCDC,0.003691991078275006
FTHFD,0.0
EDD,0.0
DHAD1,0.02275733629761188
IPPMIa,0.3223716859445425
NADH9,0.0
NADH10,0.0
FUM,2.0476047719522015
PYAM5PO,0.0
OHPBAT,0.0
GLUTRR,0.0
GLCS1,0.0
GLCP,0.0
HEMEOS,0.0
AGMT,0.0
ARGDC,0.0
ARGSS,0.0
G1SAT,0.0
KDOCT2,0.0
OAADC,0.0
ALTRH,0.0
PGAMT,0.0
UAGDP,0.0
UAGCVT,0.0
GLUR,0.0
UAG2E,0.0
MACPD,0.0
DMQMT,0.0
ICHORS_copy1,0.0
HACD5,-0.221098135932573
HPPK2,0.0
PTPATi,0.003691991078275006
HEX7,0.0
DXPRIi,0.0
OHPHM,0.0
GHMT2r,0.3185555716855209
DHORD2,0.0
ADK4,0.0
ABTA,1.9077915549560307
SSALx,0.0
ASPT,0.0
THRD,0.0
KARA1,-0.02275733629761188
KARA2,0.0
ACCOAC,0.0
NADK,0.003906632182553858
DHBD,0.0
NTD4,0.0
HACD6,-0.221098135932573
ECOAH1,0.221098135932573
ECOAH2,0.221098135932573
ECOAH3,0.221098135932573
DXPS,0.0
CDPMEK,0.0
MECDPS,0.0
DDGLK,0.0
PMANM,0.0
ICL,0.0
GLYCL,0.0
UDPG4E,0.0
TRE6PH,0.0
PPC,0.0
CINNDO,0.0
DHPPD,0.0
DHCIND,0.0
GOFUCR,0.0
GTPCII2,0.0
SADT2,0.0
LCARS,0.0
ALCD19,0.0
SBTPD,0.0
GLTPD,0.0
MANAO,0.0
PGLYCP,0.0
GLXCL,0.31050140137560633
GLCRAL,0.0
KAS14,0.0
EDTXS1,0.0
EDTXS2,0.0
EDTXS4,0.0
NNDPR,0.008272711307371007
HACD4,-0.221098135932573
HACD7,-0.22109813593257296
SDPDS,1.479126504807689e-16
DKGLCNR2y,0.0
2DGULRy,0.0
RZ5PP,0.0
NTD10,0.0
ADK1,-0.8157652539586235
OCTDPS,0.0
AMANK,0.0
ACNML,0.0
CAT,0.5721599309880653
SERASr,0.0
