mz,rt_peak,label,rt_min,rt_max,mz_tolerance,polarity,inchi_key,indentification notes,adduct,Check
125.03565,1.26,Thymine,0.76,1.76,10,negative,RWQNBRDOKXIBIV-UHFFFAOYSA-N,ionizes in both polarity. HILz: pk at rt +0.75 is in source frag of 5-methyluridine,[M-H]-,
111.02,1.39,Uracil,0.89,1.89,10,negative,ISAKRJDGNUQOIC-UHFFFAOYSA-N,ionizes in both polarities. HILz: pks at rt +1 min is in src frags of uridine,[M-H]-,
134.04721,2.56,Adenine,2.06,3.06,10,negative,GFFGJBXGBJISGV-UHFFFAOYSA-N,ionizes in both polarities. HILz: pk at rt +0.23 is in src frags of adenosine,[M-H]-,
135.03123,3.1,Hypoxanthine,2.6,3.6,10,negative,FDGQSTZJBFJUBT-UHFFFAOYSA-N,ionizes in both polarities. HILz: pk at rt +1.8 min is in src frag of inosine,[M-H]-,
110.03598,4.83,Cytosine,4.33,5.33,10,negative,OPTASPLRGRRNAP-UHFFFAOYSA-N,ionizes in both polarities. HILz: pk at rt + 1.55 is in src frags of cytidine,[M-H]-,
267.07349,5.43,Inosine,4.93,5.93,10,negative,UGQMRVRMYYASKQ-KQYNXXCUSA-N,ionizes in both polarities.,[M-H]-,
150.04213,6.27,Guanine,5.77,6.77,10,negative,UYTPUPDQBNUYGX-UHFFFAOYSA-N,ionizes in both polarities. HILz: pk at rt +2min is in src frag of guanosine,[M-H]-,
181.0718,8.42,Mannitol,6.92,9.92,10,negative,FBPFZTCFMRRESA-KVTDHHQDSA-N,ionizes in both polarities.,[M-H]-,
217.0484,8.42,Mannitol,6.92,9.92,10,negative,FBPFZTCFMRRESA-KVTDHHQDSA-N,ionizes in both polarities.,[M+Cl]-,
164.0717,8.98,Phenylalanine,8.48,9.48,10,negative,COLNVLDHVKWLRT-QMMMGPOBSA-N,ionizes in both polarities.,[M-H]-,
130.08735,9.32,Leucine,8.82,9.82,10,negative,ROHFNLRQFUQHCH-UHFFFAOYSA-N,ionizes in both polarities.,[M-H]-,
130.08735,9.71,Isoleucine,9.21,10.21,10,negative,AGPKZVBTJJNPAG-WHFBIAKZSA-N,ionizes in both polarities.,[M-H]-,
203.0826,10.16,Tryptophan,9.66,10.66,10,negative,QIVBCDIJIAJPQS-SECBINFHSA-N,ionizes in both polarities.,[M-H]-,
148.04377,10.44,Methionine,9.94,10.94,10,negative,FFEARJCKVFRZRR-BYPYZUCNSA-N,ionizes in both polarities.,[M-H]-,
114.05605,10.92,Proline,10.42,11.42,10,negative,ONIBWKKTOPOVIA-BYPYZUCNSA-N,ionizes in both polarities.,[M-H]-,
116.0717,11.12,Valine,10.62,11.62,10,negative,KZSNJWFQEVHDMF-BYPYZUCNSA-N,ionizes in both polarities. HILz: pk at rt -2.50 is betaine (isomer),[M-H]-,
180.06661,11.86,Tyrosine,11.36,12.36,10,negative,OUYCCCASQSFEME-QMMMGPOBSA-N,ionizes in both polarities.,[M-H]-,
88.0404,13.41,Alanine,12.91,13.91,10,negative,QNAYBMKLOCPYGJ-REOHCLBHSA-N,ionizes in both polarities.,[M-H]-,
118.05096,13.49,Threonine,12.99,13.99,10,negative,AYFVYJQAPQTCCC-GBXIJSLDSA-N,ionizes in both polarities.,[M-H]-,
74.02475,14.1,Glycine,13.6,14.6,10,negative,DHMQDGOQFOQNFH-UHFFFAOYSA-N,ionizes in both polarities. HILz: pk at rt -0.8 is probably in scr frag of ectoine,[M-H]-,
104.03531,14.31,Serine,13.81,14.81,10,negative,MTCFGRXMJLQNBG-REOHCLBHSA-N,ionizes in both polarities.,[M-H]-,
145.06186,14.31,Glutamine,13.81,14.81,10,negative,ZDXPYRJPNDTMRX-VKHMYHEASA-N,ionizes in both polarities.,[M-H]-,
131.04621,14.37,Asparagine,13.87,14.87,10,negative,DCXYFEDJOCDNAF-REOHCLBHSA-N,ionizes in both polarities.,[M-H]-,
341.10893,14.22,Trehalose,13.72,14.72,10,negative,HDTRYLNUVZCQOY-LIZSDCNHSA-N,ionizes in both polarities. HILz: pk at rt -1.50 is sucrose (isomer),[M-H]-,
401.1301,14.22,Trehalose,13.72,14.72,10,negative,HDTRYLNUVZCQOY-LIZSDCNHSA-N,ionizes in both polarities. HILz: pk at rt -1.50 is sucrose (isomer),[M+acetate]-,
154.0622,14.88,Histidine,14.38,15.38,10,negative,HNDVDQJCIGZPNO-YFKPBYRVSA-N,ionizes in both polarities.,[M-H]-,
